 # k       S(k)       S(k)_form^2       S(k)_Lorch          S(k)_Lorch_form^2
      33.200 -9.1793851E-02 -8.5187299E-02 -9.0604931E-02 -8.4083948E-02
      33.400 -8.3388303E-02 -7.7363527E-02 -8.2498041E-02 -7.6537586E-02
      33.600 -7.4943360E-02 -6.9508299E-02 -7.4412064E-02 -6.9015534E-02
      33.800 -6.6516738E-02 -6.1675030E-02 -6.6367770E-02 -6.1536906E-02
      34.000 -5.8169546E-02 -5.3920216E-02 -5.8387566E-02 -5.4122310E-02
      34.200 -4.9958076E-02 -4.6295823E-02 -5.0495615E-02 -4.6793957E-02
      34.400 -4.1927601E-02 -3.8843552E-02 -4.2718419E-02 -3.9576201E-02
      34.600 -3.4108276E-02 -3.1591063E-02 -3.5084619E-02 -3.2495351E-02
      34.800 -2.6514978E-02 -2.4551838E-02 -2.7625010E-02 -2.5579685E-02
      35.000 -1.9150639E-02 -1.7728300E-02 -2.0372351E-02 -1.8859273E-02
      35.200 -1.2012046E-02 -1.1117181E-02 -1.3360669E-02 -1.2365335E-02
      35.400 -5.0976902E-03 -4.7168041E-03 -6.6250372E-03 -6.1300318E-03
      35.600  1.5850212E-03  1.4662536E-03 -2.0078274E-04 -1.8573784E-04
      35.800  8.0138980E-03  7.4117428E-03  5.8768898E-03  5.4353069E-03
      36.000  1.4149066E-02  1.3083072E-02  1.1573222E-02  1.0701293E-02
      36.200  1.9933964E-02  1.8428249E-02  1.6854404E-02  1.5581304E-02
      36.400  2.5299369E-02  2.3383609E-02  2.1687535E-02  2.0045276E-02
      36.600  3.0170557E-02  2.7880440E-02  2.6040916E-02  2.4064262E-02
      36.800  3.4475473E-02  3.1852536E-02  2.9884014E-02  2.7610401E-02
      37.000  3.8152653E-02  3.5243507E-02  3.3187490E-02  3.0656938E-02
      37.200  4.1157475E-02  3.8012528E-02  3.5923458E-02  3.3178456E-02
      37.400  4.3465056E-02  4.0137015E-02  3.8065592E-02  3.5150979E-02
      37.600  4.5069812E-02  4.1612184E-02  3.9589612E-02  3.6552409E-02
      37.800  4.5981401E-02  4.2447298E-02  4.0473749E-02  3.7362961E-02
      38.000  4.6218177E-02  4.2659615E-02  4.0699408E-02  3.7565763E-02
      38.200  4.5799535E-02  4.2267314E-02  4.0251952E-02  3.7147580E-02
      38.400  4.4738740E-02  4.1282882E-02  3.9121502E-02  3.6099549E-02
      38.600  4.3037858E-02  3.9708437E-02  3.7303741E-02  3.4417913E-02
      38.800  4.0685947E-02  3.7534074E-02  3.4800638E-02  3.2104690E-02
      39.000  3.7661090E-02  3.4739738E-02  3.1621115E-02  2.9168281E-02
      39.200  3.3935826E-02  3.1300243E-02  2.7781386E-02  2.5623781E-02
      39.400  2.9485385E-02  2.7192867E-02  2.3305300E-02  2.1493290E-02
      39.600  2.4296753E-02  2.2405705E-02  1.8224206E-02  1.6805792E-02
      39.800  1.8377210E-02  1.6945540E-02  1.2576740E-02  1.1596954E-02
      40.000  1.1760580E-02  1.0843596E-02  6.4084498E-03  5.9087768E-03
