 # k       S(k)       S(k)_form^2       S(k)_Lorch          S(k)_Lorch_form^2
   44.600055 -1.5480851E-01 -1.4279739E-01 -1.2488563E-01 -1.1519614E-01
   44.800055 -1.5636744E-01 -1.4425059E-01 -1.2655571E-01 -1.1674896E-01
   45.000055 -1.5704080E-01 -1.4488806E-01 -1.2773185E-01 -1.1784720E-01
   45.200056 -1.5686361E-01 -1.4474184E-01 -1.2840604E-01 -1.1848335E-01
   45.400056 -1.5588230E-01 -1.4385450E-01 -1.2857321E-01 -1.1865256E-01
   45.600057 -1.5415263E-01 -1.4227718E-01 -1.2823114E-01 -1.1835260E-01
   45.800057 -1.5173739E-01 -1.4006753E-01 -1.2738038E-01 -1.1758377E-01
   46.000057 -1.4870397E-01 -1.3728744E-01 -1.2602409E-01 -1.1634878E-01
   46.200058 -1.4512187E-01 -1.3400078E-01 -1.2416788E-01 -1.1465256E-01
   46.400058 -1.4106037E-01 -1.3027123E-01 -1.2181969E-01 -1.1250219E-01
   46.600059 -1.3658612E-01 -1.2616005E-01 -1.1898953E-01 -1.0990667E-01
   46.800059 -1.3176124E-01 -1.2172435E-01 -1.1568937E-01 -1.0687675E-01
   47.000059 -1.2664136E-01 -1.1701528E-01 -1.1193285E-01 -1.0342477E-01
   47.200060 -1.2127427E-01 -1.1207675E-01 -1.0773509E-01 -9.9564394E-02
   47.400060 -1.1569888E-01 -1.0694451E-01 -1.0311258E-01 -9.5310556E-02
   47.600061 -1.0994445E-01 -1.0164540E-01 -9.8082798E-02 -9.0679108E-02
   47.800061 -1.0403049E-01 -9.6197245E-02 -9.2664209E-02 -8.5686818E-02
   48.000062 -9.7966742E-02 -9.0608879E-02 -8.6875893E-02 -8.0351017E-02
   48.200062 -9.1753980E-02 -8.4880821E-02 -8.0737586E-02 -7.4689649E-02
   48.400062 -8.5384724E-02 -7.9005955E-02 -7.4269330E-02 -6.8720950E-02
   48.600063 -7.8844561E-02 -7.2970742E-02 -6.7491430E-02 -6.2463404E-02
   48.800063 -7.2113755E-02 -6.6756698E-02 -6.0424442E-02 -5.5935740E-02
   49.000064 -6.5168696E-02 -6.0341733E-02 -5.3088856E-02 -4.9156632E-02
   49.200064 -5.7983981E-02 -5.3702073E-02 -4.5505298E-02 -4.2144896E-02
   49.400064 -5.0534026E-02 -4.6813748E-02 -3.7694237E-02 -3.4919215E-02
   49.600065 -4.2794992E-02 -3.9654376E-02 -2.9676057E-02 -2.7498207E-02
   49.800065 -3.4746626E-02 -3.2204874E-02 -2.1471175E-02 -1.9900535E-02
   50.000066 -2.6373552E-02 -2.4450653E-02 -1.3099754E-02 -1.2144649E-02
   50.200063 -1.7667060E-02 -1.6383286E-02 -4.5821868E-03 -4.2492231E-03
   50.400060 -8.6254910E-03 -8.0008748E-03  4.0615617E-03  3.7674431E-03
   50.600058  7.4450184E-04  6.9077765E-04  1.2811415E-02  1.1886928E-02
   50.800055  1.0427506E-02  9.6777347E-03  2.1647143E-02  2.0090643E-02
   51.000053  2.0399593E-02  1.8938143E-02  3.0548628E-02  2.8360089E-02
   51.200050  3.0628184E-02  2.8442093E-02  3.9495485E-02  3.6676489E-02
   51.400048  4.1073020E-02  3.8152513E-02  4.8467381E-02  4.5021096E-02
   51.600045  5.1686626E-02  4.8025578E-02  5.7443667E-02  5.3374839E-02
   51.800042  6.2415790E-02  5.8012087E-02  6.6403674E-02  6.1718608E-02
   52.000040  7.3202747E-02  6.8058538E-02  7.5326582E-02  7.0033123E-02
   52.200037  8.3986493E-02  7.8108354E-02  8.4191304E-02  7.8298831E-02
   52.400035  9.4704737E-02  8.8103686E-02  9.2976827E-02  8.6496214E-02
   52.600032  1.0529509E-01  9.7986513E-02  1.0166190E-01  9.4605505E-02
