 # k       S(k)       S(k)_form^2       S(k)_Lorch          S(k)_Lorch_form^2
      42.800 -2.2055264E-07 -1.2201779E-04 -1.6878964E-07 -9.3380601E-05
      43.000 -2.2773134E-07 -1.2598931E-04 -1.8147181E-07 -1.0039685E-04
      43.200 -2.2762650E-07 -1.2593131E-04 -1.9325234E-07 -1.0691426E-04
      43.400 -2.2238250E-07 -1.2303014E-04 -2.0407561E-07 -1.1290209E-04
      43.600 -2.1474319E-07 -1.1880379E-04 -2.1389520E-07 -1.1833465E-04
      43.800 -2.0759146E-07 -1.1484719E-04 -2.2267427E-07 -1.2319155E-04
      44.000 -2.0348092E-07 -1.1257309E-04 -2.3038666E-07 -1.2745833E-04
      44.200 -2.0423511E-07 -1.1299033E-04 -2.3701712E-07 -1.3112654E-04
      44.400 -2.1067533E-07 -1.1655330E-04 -2.4256141E-07 -1.3419385E-04
      44.600 -2.2251723E-07 -1.2310467E-04 -2.4702623E-07 -1.3666395E-04
      44.800 -2.3844731E-07 -1.3191778E-04 -2.5042831E-07 -1.3854610E-04
      45.000 -2.5636316E-07 -1.4182948E-04 -2.5279358E-07 -1.3985466E-04
      45.200 -2.7373346E-07 -1.5143936E-04 -2.5415572E-07 -1.4060824E-04
      45.400 -2.8801761E-07 -1.5934188E-04 -2.5455461E-07 -1.4082892E-04
      45.600 -2.9707737E-07 -1.6435407E-04 -2.5403471E-07 -1.4054129E-04
      45.800 -2.9951328E-07 -1.6570170E-04 -2.5264341E-07 -1.3977158E-04
      46.000 -2.9487608E-07 -1.6313623E-04 -2.5042954E-07 -1.3854678E-04
      46.200 -2.8372117E-07 -1.5696493E-04 -2.4744194E-07 -1.3689393E-04
      46.400 -2.6750255E-07 -1.4799220E-04 -2.4372854E-07 -1.3483954E-04
      46.600 -2.4832588E-07 -1.3738296E-04 -2.3933542E-07 -1.3240911E-04
      46.800 -2.2860508E-07 -1.2647269E-04 -2.3430643E-07 -1.2962689E-04
      47.000 -2.1067735E-07 -1.1655441E-04 -2.2868282E-07 -1.2651570E-04
      47.200 -1.9644065E-07 -1.0867815E-04 -2.2250320E-07 -1.2309691E-04
      47.400 -1.8706980E-07 -1.0349386E-04 -2.1580372E-07 -1.1939051E-04
      47.600 -1.8285364E-07 -1.0116133E-04 -2.0861810E-07 -1.1541516E-04
      47.800 -1.8317744E-07 -1.0134046E-04 -2.0097802E-07 -1.1118839E-04
      48.000 -1.8664836E-07 -1.0326070E-04 -1.9291315E-07 -1.0672661E-04
      48.200 -1.9134133E-07 -1.0585702E-04 -1.8445161E-07 -1.0204538E-04
      48.400 -1.9512286E-07 -1.0794910E-04 -1.7561990E-07 -9.7159354E-05
      48.600 -1.9599955E-07 -1.0843412E-04 -1.6644316E-07 -9.2082445E-05
      48.800 -1.9243541E-07 -1.0646231E-04 -1.5694544E-07 -8.6827958E-05
      49.000 -1.8358830E-07 -1.0156776E-04 -1.4714952E-07 -8.1408497E-05
      49.200 -1.6943035E-07 -9.3735068E-05 -1.3707744E-07 -7.5836254E-05
      49.400 -1.5073539E-07 -8.3392329E-05 -1.2675031E-07 -7.0122908E-05
      49.600 -1.2893943E-07 -7.1334007E-05 -1.1618865E-07 -6.4279812E-05
      49.800 -1.0589967E-07 -5.8587574E-05 -1.0541276E-07 -5.8318194E-05
      50.000 -8.3591246E-08 -4.6245735E-05 -9.4442545E-08 -5.2249071E-05
      50.200 -6.3794360E-08 -3.5293374E-05 -8.3298355E-08 -4.6083697E-05
      50.400 -4.7817368E-08 -2.6454317E-05 -7.2000272E-08 -3.9833184E-05
      50.600 -3.6304508E-08 -2.0084982E-05 -6.0568944E-08 -3.3508955E-05
      50.800 -2.9152305E-08 -1.6128121E-05 -4.9025732E-08 -2.7122828E-05
      51.000 -2.5546843E-08 -1.4133448E-05 -3.7392402E-08 -2.0686845E-05
      51.200 -2.4113824E-08 -1.3340650E-05 -2.5691662E-08 -1.4213567E-05
      51.400 -2.3153830E-08 -1.2809546E-05 -1.3946745E-08 -7.7158495E-06
      51.600 -2.0924103E-08 -1.1575979E-05 -2.1819107E-09 -1.2071128E-06
      51.800 -1.5920607E-08 -8.8078620E-06  9.5779291E-09  5.2988608E-06
      52.000 -7.1156638E-09 -3.9366455E-06  2.1307008E-08  1.1787816E-05
      52.200  5.8853061E-09  3.2559666E-06  3.2978509E-08  1.8244918E-05
      52.400  2.2791721E-08  1.2609214E-05  4.4564976E-08  2.4654975E-05
      52.600  4.2684940E-08  2.3614870E-05  5.6037889E-08  3.1002210E-05
      52.800  6.4174875E-08  3.5503888E-05  6.7368230E-08  3.7270569E-05
      53.000  8.5626491E-08  4.7371707E-05  7.8526218E-08  4.3443577E-05
      53.200  1.0542138E-07  5.8322961E-05  8.9481994E-08  4.9504712E-05
      53.400  1.2220960E-07  6.7610820E-05  1.0020584E-07  5.5437538E-05
